,SEQID,curve_date,curve_num,dH_uv,dH_uv_std,n_curve,Tm_uv,Tm_uv_std,dG_37_uv,dG_37_uv_std,dS_uv,dS_uv_std,is_hairpin,Na_mM,conc_uM,Purification
0,BC0,23021815,5,-24.417998433210307,0.0,1,78.26915701740859,0.0,-2.8675448997820943,0.0,-0.06948397076713918,0.0,True,25.0,6.0,standard desalting
1,BNNN2110,22111115,3,-35.29680080725215,0.49475369320859125,4,51.835844483436205,0.8392841584345151,-1.6113250974717686,0.6894139199281948,-0.10861027151307555,0.001548008768743277,True,25.0,9.0,standard desalting
2,BNNN3096,22111115,4,-41.1237671239158,0.0,1,52.33771545668979,0.0,-1.9378446826136035,0.0,-0.12634506671385523,0.0,True,25.0,9.0,standard desalting
3,BNNN8973,22111115,6,-37.39696666754277,4.2518549055354935,4,61.916810552852866,6.556597947689832,-2.780977119664721,5.83323270112329,-0.11161047734282784,0.012876145345245015,True,25.0,9.0,standard desalting
4,HP003,23031320,6,-35.130547240262764,0.0,1,51.54515103483492,0.0,-1.573719576401079,0.0,-0.10819547852284922,0.0,True,25.0,9.0,standard desalting
5,HP005,23031209,2,-56.82647626729113,0.0,1,49.01415347829711,0.0,-2.1191743405804937,0.0,-0.17638981759377925,0.0,True,25.0,9.0,standard desalting
6,HP007,23031209,4,-39.669744516389926,0.0,1,30.049075514589862,0.0,0.9094401030773338,0.0,-0.13083728718190316,0.0,True,25.0,9.0,standard desalting
7,HP008,23022109,1,-26.46734658196008,3.1546961057935325,2,45.0131366986607,7.870170741555585,-0.6665966032794908,4.451577859270001,-0.08318797349244104,0.010126617038556026,True,25.0,6.0,standard desalting
8,HP009,23020103,3,-38.77685513395269,0.0,1,63.54139060757484,0.0,-3.0567804445084246,0.0,-0.11517031981120189,0.0,True,25.0,6.0,standard desalting
9,HP009,23031209,6,-34.784527660684724,0.0,1,61.532494121453055,0.0,-2.5497336590410256,0.0,-0.10393291633610736,0.0,True,25.0,9.0,standard desalting
10,HP010,23022109,2,-32.81336499660849,2.711407734387868,2,43.46642822048951,3.6591616378386904,-0.6701650657101292,3.813690094356096,-0.10363759448943531,0.008647053715780452,True,25.0,6.0,standard desalting
11,HP014,23020411,2,-29.188951137384457,0.0,1,39.23076057189103,0.0,-0.20844293103366834,0.0,-0.09344029729598836,0.0,True,25.0,6.0,standard desalting
12,HP015,23020411,3,-29.711656819908836,0.3967118199242362,2,48.28126631316714,6.199073743196158,-1.042789387091711,0.7807748493624399,-0.09243549067488999,0.002168240566944234,True,25.0,6.0,standard desalting
13,HP016,23020411,4,-23.41053661772953,0.0,1,48.59022587601764,0.0,-0.843330691832191,0.0,-0.0727622309395368,0.0,True,25.0,6.0,standard desalting
14,HP018,23020411,6,-38.331193412831816,0.0,1,62.14597918466652,0.0,-2.8747001202529656,0.0,-0.1143204684590645,0.0,True,25.0,6.0,standard desalting
15,HP019,23020517,1,-44.25499393807966,0.0,1,28.323514251703312,0.0,1.2736701767907788,0.0,-0.14679562829234383,0.0,True,25.0,6.0,standard desalting
16,HP021,23020517,3,-27.30706482841243,1.508615530263797,2,35.96561371026769,5.617608498597476,0.09137698718064784,2.194315277667185,-0.08833932553794319,0.005137691320876381,True,25.0,6.0,standard desalting
18,HP023,23020517,5,-33.696133196968184,0.0,1,28.400351681551104,0.0,0.9609502810049776,0.0,-0.11174297429622172,0.0,True,25.0,6.0,standard desalting
19,HP029,23020120,5,-38.86136193514357,0.0,1,71.0105241938826,0.0,-3.840345412647769,0.0,-0.1129163840802702,0.0,True,25.0,6.0,standard desalting
20,HP038,23022109,5,-36.49797562137377,0.0,1,45.79479325993843,0.0,-1.0064191571067547,0.0,-0.11443352076178306,0.0,True,25.0,6.0,standard desalting
21,HP039,23022109,6,-23.04809725871276,12.644595407417256,2,53.4214540149147,3.528508361269604,-1.1589600518113505,17.43996184376323,-0.0705759703591856,0.038726738799529446,True,25.0,6.0,standard desalting
22,HP040,23021907,1,-34.14745616992999,0.0,1,46.69966376266313,0.0,-1.0355453849855236,0.0,-0.10676095690776871,0.0,True,25.0,6.0,standard desalting
23,HP042,23021907,3,-32.225650875198575,0.0,1,35.278407055112176,0.0,0.17987789685418726,0.0,-0.10448340729341533,0.0,True,25.0,6.0,standard desalting
24,MMCNN112,22111521,4,-37.5315241045725,2.196218696005681,6,53.70875472271364,0.9546631977517629,-1.9185811044434549,3.0293633729573926,-0.11482490085484134,0.00672753185549926,True,25.0,9.0,standard desalting
25,MMCNN112,22111703,4,-43.601812901555704,3.969809580775576,6,64.83968063838144,0.5737511258053402,-3.5914130400108006,5.38833531867571,-0.1290033850122357,0.011747398660806188,True,1000.0,10.0,standard desalting
27,MMCNN151,22111521,6,-38.89388269578584,1.2704799714806563,4,52.48763744233932,1.2415186408225196,-1.8498302550296184,1.760198469881483,-0.11943915022007488,0.003927999274534087,True,25.0,9.0,standard desalting
28,MMCNN151,22111703,6,-47.274310913700454,0.3249940209402338,2,66.95419655252753,0.08186019627522347,-4.163618136289526,0.43995946885829734,-0.13899949307564383,0.0009561574153397371,True,1000.0,10.0,standard desalting
29,MMCNN164,22111521,7,-39.514448929348575,3.346992778918951,3,53.26825313390816,0.2682311027852037,-1.9693477661183878,4.617020364212619,-0.12105465472587518,0.010254176195276727,True,25.0,9.0,standard desalting
30,MMCNN20,22111521,1,-40.86556871973204,1.587263759084923,5,48.11146504377917,0.7038784091193923,-1.4134167577850618,2.2079449087436704,-0.12720345626937604,0.00494857688340316,True,25.0,9.0,standard desalting
31,MMCNN20,22111703,1,-44.82792081881339,0.7671171001941893,4,62.19252403631772,0.23012867909263285,-3.367686445288986,1.0452994049225472,-0.13367800862010126,0.002289401532585046,True,1000.0,10.0,standard desalting
32,MMCNN70,22111521,2,-39.95978099682401,1.8830550865830429,5,51.042901921200006,0.6670535906939442,-1.7309178640420297,2.6071903930461606,-0.1232592717484507,0.005813974438682633,True,25.0,9.0,standard desalting
33,MMCNN70,22111703,2,-47.94073684704946,5.15389372543182,4,63.65568159045823,1.052311528968732,-3.79415516559119,7.007579614061723,-0.14233945407531282,0.015308737719221565,True,1000.0,10.0,standard desalting
34,MMCNN88,22111521,3,-35.747125670216896,1.697963496947358,4,55.560701725887654,1.3507576201417035,-2.018467100824741,2.338583974865643,-0.10874950368980223,0.005184819660137693,True,25.0,9.0,standard desalting
35,MMCNN88,22111703,3,-18.198032912121597,1.220143834020998,4,60.978827207231504,2.324972434695604,-1.3059857491452973,1.6689230053511874,-0.05446412111228857,0.003671329427534839,True,1000.0,10.0,standard desalting
36,MMCNNN2336,23020906,2,-51.03930392752075,0.0,1,60.13187715906693,0.0,-3.5424515692229037,0.0,-0.15314155201772642,0.0,True,25.0,6.0,standard desalting
37,MMCNNN2337,23031102,6,-41.39060956157777,0.0,1,64.46321767099899,0.0,-3.3669277754186266,0.0,-0.12259771654412105,0.0,True,25.0,9.0,standard desalting
39,MMTM1325,23030919,1,-24.756239450390428,0.0,1,53.67824255813487,0.0,-1.2633258470844517,0.0,-0.07574694052331445,0.0,True,25.0,9.0,standard desalting
40,MMTM176,23020906,5,-33.259669562155885,0.0,1,60.40482701004263,0.0,-2.333759698491794,0.0,-0.09971275145466417,0.0,True,25.0,6.0,standard desalting
41,MMTM177,23020906,1,-47.12422671283749,0.0,1,57.355020511000326,0.0,-2.902269381027179,0.0,-0.14258248373951415,0.0,True,25.0,6.0,standard desalting
42,MMTM181,23030919,3,-40.946779620800655,0.0,1,55.583943683341865,0.0,-2.3147979121382427,0.0,-0.12455902533826346,0.0,True,25.0,9.0,standard desalting
43,MMTM185,23030919,4,-35.83404145733913,0.0,1,54.16605606196346,0.0,-1.8793125274213787,0.0,-0.1094784102205957,0.0,True,25.0,9.0,standard desalting
44,MMTM189,23030919,5,-39.54814086212668,0.0,1,58.616453342395154,0.0,-2.5767841597967585,0.0,-0.11920476125207134,0.0,True,25.0,9.0,standard desalting
45,MMTM1917,23030919,6,-18.214123199421508,0.0,1,56.966332582762405,0.0,-1.1016396512641002,0.0,-0.055174862318740636,0.0,True,25.0,9.0,standard desalting
46,MMTM29,23031009,1,-22.06712796827929,0.0,1,56.02455000874283,0.0,-1.2753634191060843,0.0,-0.06703777059220767,0.0,True,25.0,9.0,standard desalting
47,TETNN1015,23021507,1,-29.562349007776717,0.0,1,38.46118103820423,0.0,-0.13862128974647836,0.0,-0.09486934618097773,0.0,True,25.0,6.0,standard desalting
48,TETNN773,23031009,6,-37.24260752444283,0.0,1,39.899999904632445,0.0,-0.3450041792111511,0.0,-0.11896696226094368,0.0,True,25.0,9.0,standard desalting
49,TETNN975,23021507,4,-48.34949208621507,0.0,1,37.30201942032402,0.0,-0.04703620739882909,0.0,-0.15573901621414235,0.0,True,25.0,6.0,standard desalting
50,TETNNN1262,22110802,3,-49.21662478073319,4.333029600469134,4,41.21087461639604,0.7233082740102403,-0.6592583642820454,6.087951612485445,-0.15656091058020685,0.0137883224661532,True,25.0,9.0,standard desalting
51,TETNNN1390,22110802,4,-28.755256200145332,0.972972246233603,4,41.33034729884591,1.0272471467324444,-0.39595557268827397,1.369685968406392,-0.09143737103806887,0.003108288284480737,True,25.0,9.0,standard desalting
52,TETNNN1511,22110802,5,-38.4182018796443,3.7095488020805334,3,38.93307219462008,0.414690820160276,-0.2379659918706781,5.23011812834626,-0.12310248553207681,0.011887540139715866,True,25.0,9.0,standard desalting
53,TETNNN1570,23021815,4,-29.769728783908015,1.7597497087478646,2,45.42519294725715,0.6524810488520966,-0.7873045816014423,2.456691450409444,-0.09344647493892172,0.005527127394191171,True,25.0,6.0,standard desalting
54,TETNNN1696,23021722,6,-25.233866541518456,0.0,1,44.48861071831417,0.0,-0.594910684881767,0.0,-0.07944206305541412,0.0,True,25.0,6.0,standard desalting
55,TETNNN1847,23021619,3,-28.837500677717884,0.0,1,42.16990100347078,0.0,-0.4728119703731672,0.0,-0.09145474353488543,0.0,True,25.0,6.0,standard desalting
56,TETNNN1848,23021619,1,-21.18632880724424,0.0,1,46.25775092203721,0.0,-0.6140669864261455,0.0,-0.06633003972535256,0.0,True,25.0,6.0,standard desalting
57,TETNNN2099,23021815,3,-26.51248270429947,0.0,1,49.821489601933656,0.0,-1.0525062807667285,0.0,-0.08208923560706995,0.0,True,25.0,6.0,standard desalting
58,TETNNN2253,23021722,3,-32.63569826748277,0.0,1,39.49238542897776,0.0,-0.2601718212800221,0.0,-0.10438667240432936,0.0,True,25.0,6.0,standard desalting
59,TETNNN3186,23021815,2,-34.857485104231785,1.0998781428628488,2,47.277052907545865,2.29911167006556,-1.1179836889226213,1.5497465743625831,-0.10878446369598313,0.0035201661062453453,True,25.0,6.0,standard desalting
60,TETNNN3276,22110802,6,-35.768519940521614,1.1315646967829711,4,50.05308253320696,0.20779795356397365,-1.4445698946151568,1.5684475194816472,-0.11066887004967423,0.0035018179441939196,True,25.0,9.0,standard desalting
61,TETNNN449,22110802,2,-41.13573781508635,0.30782069336675216,3,52.9758974295274,1.542595080686795,-2.015112363665511,0.4633487340704753,-0.12613453313371223,0.0011166253082879724,True,25.0,9.0,standard desalting
62,TETNNN615,23021619,2,-34.81756998027115,0.0,1,37.32068090490685,0.0,-0.03596259014019746,0.0,-0.11214447006329505,0.0,True,25.0,6.0,standard desalting
63,TETNNN621,23021619,5,-25.90567133908035,0.0,1,41.26852884519051,0.0,-0.3516939849920103,0.0,-0.08239231776265789,0.0,True,25.0,6.0,standard desalting
64,TETNNN707,23021619,4,-24.96321238113464,0.0,1,42.53776391577313,0.0,-0.4379022329890196,0.0,-0.07907564129661654,0.0,True,25.0,6.0,standard desalting
65,TETNNN757,23021722,2,-30.827403517705623,0.0,1,41.11557679223628,0.0,-0.4037112425019104,0.0,-0.09809347823699407,0.0,True,25.0,6.0,standard desalting
66,TRINNN162,22110609,1,-38.99956603021077,1.3006946715419598,2,52.01113404960744,0.9394051353515737,-1.8004233970554935,1.8007119269490872,-0.11993919920411182,0.004015134183577727,True,25.0,9.0,standard desalting
67,TRINNN162,22111906,7,-38.4860082169003,3.220959684638399,3,50.52764717135658,0.9270360775731168,-1.6084680074201627,4.462203234717677,-0.11890227376907994,0.009956959441250458,True,25.0,9.0,standard desalting
68,TRINNN445,22110609,2,-35.24920388076741,0.5218393188913364,2,47.25729397922462,1.6589954012528982,-1.1284432456213096,0.7474545129951057,-0.11001373733724361,0.0017254146106363737,True,25.0,9.0,standard desalting
69,TRINNN452,22110609,3,-38.863138640493204,1.6895785142157287,2,53.58608984937672,1.6173139897276556,-1.9728078083359437,2.3367130470442516,-0.11894351388733601,0.005204489212488851,True,25.0,9.0,standard desalting
70,TRINNN470,22110609,4,-40.7597476563733,0.29165107588179884,2,54.3930521014953,1.7341798444541796,-2.1644068163943966,0.45064742412726105,-0.12444088615179398,0.0011076717531319738,True,25.0,9.0,standard desalting
71,TRINNN512,22110609,5,-32.397142928326595,0.6712892258763045,2,47.7962437478871,0.7881296447072856,-1.0898007333094197,0.936675828385912,-0.10094258325009568,0.0021062310693803466,True,25.0,9.0,standard desalting
72,TRINNN520,22110609,6,-36.54899200444167,0.39490360842345046,2,52.61429492263648,0.8023739692250532,-1.7518394408999407,0.5519529517712892,-0.11219459153165157,0.0012433356124415668,True,25.0,9.0,standard desalting
73,TRINNN544,22110609,7,-33.463794364087036,1.5515613022614108,2,47.79323058470042,0.12842012339672162,-1.1253779933372678,2.1576974966666826,-0.10426702037965427,0.004834559296295472,True,25.0,9.0,standard desalting
74,WC1025,22080918,6,-48.888726152007294,1.063756576562225,4,67.01954916377173,0.5240376396343094,-4.3143706480552275,1.4411672823453348,-0.14371870225359365,0.0031349642081291737,True,1000.0,6.4,standard desalting
75,WC1025,22082723,5,-46.71486412944265,2.0849538911850924,3,57.26749168497545,1.3361601541200951,-2.8654449117691416,2.8650616152101476,-0.14138132909132198,0.006335906843023318,True,50.0,6.4,standard desalting
76,WC1025,22090323,5,-40.931551433759005,4.4815879319293686,4,55.35411502940816,1.2461586628470904,-2.2869193077843013,6.165153664690296,-0.1245998133998862,0.013650595890058431,True,25.0,3.2,standard desalting
77,WC1048,22080918,2,-40.61644627875715,1.2052927567280853,4,66.8389411142019,0.4859180911869963,-3.564679912258933,1.6323170940705942,-0.11946402181685707,0.0035492032438008162,True,1000.0,6.4,standard desalting
78,WC1048,22082723,1,-40.50899693399798,1.9007448733594048,3,56.845031925638736,1.2885959890342018,-2.4361043641770452,2.612718629393464,-0.12275638423285808,0.005779831461957473,True,50.0,6.4,standard desalting
79,WC1048,22090323,1,-37.51756963571541,2.1632951912787357,4,55.10245296059777,2.746915360302256,-2.0690174084030795,2.9909454701905926,-0.11429486450850342,0.006659383009528095,True,25.0,3.2,standard desalting
80,WC1106,22080918,1,-45.21529421269422,0.976931792827503,3,70.04306784655992,0.8688521310689327,-4.353386400683963,1.3208177700478807,-0.1317488563985499,0.0028660700046344418,True,1000.0,6.4,standard desalting
81,WC1154,22080918,7,-47.065040106320254,1.433964715577332,4,69.02209514291752,0.24219280957305694,-4.4045707221108295,1.9356037910279589,-0.13754786195134427,0.004191901209537828,True,1000.0,6.4,standard desalting
82,WC1154,22082723,6,-49.22390891522615,3.7485959449987973,3,59.52958847032553,1.2042001180639406,-3.3335210490671634,5.127644416405819,-0.14796191477078505,0.011280607982925319,True,50.0,6.4,standard desalting
83,WC1154,22090323,6,-39.00267911216288,1.993746950120834,3,56.094712026489525,1.1130455427775465,-2.2619799155602176,2.7418576589840473,-0.11846106463518512,0.006068744694083412,True,25.0,3.2,standard desalting
84,WC1203,23012106,4,-24.876023993756704,0.0,1,57.494888882273806,0.0,-1.5419302240185147,0.0,-0.075234866257418,0.0,True,25.0,6.0,standard desalting
85,WC1272,22111323,4,-24.88105682335205,2.262522159690879,6,55.97335440272629,1.824557154971647,-1.434347039518138,3.111545860698071,-0.07559796802783787,0.00688715252375721,True,25.0,9.0,standard desalting
86,WC135,22111323,2,-29.29601095198644,3.065789611593046,5,65.50220015712287,6.20027085566503,-2.4656587719535534,4.1861552996593385,-0.08650766461400254,0.009190420075858997,True,25.0,9.0,standard desalting
87,WC1375,22111906,2,-38.97684349074214,5.519448476624983,2,57.13708874278231,2.448980046229314,-2.3763573661756245,7.576330793313254,-0.11800898315191527,0.016733955507969776,True,25.0,9.0,PAGE
88,WC1375,22111906,3,-35.21322698459307,0.0,1,59.42697139869173,0.0,-2.3745661977671566,0.0,-0.10587993160350126,0.0,True,25.0,12.0,PAGE
90,WC1375,22111906,5,-44.81832000018594,11.137118011299611,3,57.69372737266638,2.4756271176330653,-2.8033117107886665,15.268872944121135,-0.13546673638367654,0.03367803366466124,True,25.0,6.0,PAGE
91,WC1375,22111906,6,-41.58906556666222,8.584865146059903,3,62.61976402225262,2.8776135864974037,-3.1733114767691353,11.691469046516401,-0.1238618542314786,0.02558974018017963,True,25.0,9.0,PAGE
92,WC1394,22080918,3,-47.74692947538682,1.2758450299164472,3,66.08906016494359,0.7276720068234362,-4.094202193360436,1.7312248759407713,-0.14074714583919518,0.0037730006465559246,True,1000.0,6.4,standard desalting
93,WC1394,22082723,2,-48.72678805188047,2.438208741005807,3,56.25950000115867,1.3858076313567267,-2.8488965088692066,3.3544214449847005,-0.1479216235467073,0.007427869596882276,True,50.0,6.4,standard desalting
94,WC1394,22090323,2,-43.668569714646125,3.308904312790874,4,54.17555758079207,1.5618320742609446,-2.2913946565862364,4.56265228673221,-0.1334102049268415,0.01012893182139332,True,25.0,3.2,standard desalting
95,WC1749,22111323,5,-30.95145743372524,1.5258952721925727,6,53.78124903649366,1.4895518616169348,-1.588725815499508,2.107538283752474,-0.09467267972989113,0.004687217247462381,True,25.0,9.0,standard desalting
96,WC1767,22111323,6,-31.388329735316894,2.935752577280257,6,48.389120094856196,2.015457661591439,-1.1117945985142006,4.083327025465296,-0.0976190073732152,0.009150793040680408,True,25.0,9.0,standard desalting
97,WC1785,22111323,7,-32.86281259339174,0.8726819328143948,5,56.1402149608741,0.46106438599252186,-1.9101730591392638,1.19961029923991,-0.09979893449702555,0.0026538722679022016,True,25.0,9.0,standard desalting
98,WC200,22080918,4,-40.15345457666436,1.994991243835888,4,64.3749198306713,0.1372235735443539,-3.256641318549545,2.7093896467721827,-0.11896441482545482,0.005910846627643968,True,1000.0,6.4,standard desalting
99,WC200,22082723,3,-43.22329835824546,1.1903252210185664,3,53.9641859247028,1.2137068018716415,-2.241566098869711,1.6473376980257375,-0.13213519993350234,0.003671746127975199,True,50.0,6.4,standard desalting
100,WC200,22090323,3,-43.46604580538334,1.8372923699942425,4,51.79894714408621,0.8698215899528015,-1.9795470029668187,2.5422727261004936,-0.13376269160862977,0.0056654213564410055,True,25.0,3.2,standard desalting
101,WC2318,22071204,5,-50.30024720267437,2.2756599438067298,3,70.22682177370072,1.3606756707324943,-4.867298090602683,3.071797452864032,-0.1464870195456124,0.006652669123275237,True,1000.0,8.0,standard desalting
102,WC2318,22071204,6,-51.787338477191085,0.5283913335207965,2,68.57118176156789,0.07829740447878743,-4.784565790106722,0.7136557610000459,-0.15154851744989317,0.0015466543431565647,True,1000.0,4.0,standard desalting
103,WC2318,22071204,7,-48.732217979983716,2.0096074017023193,4,69.24328715219553,1.3461073031139754,-4.589128808455748,2.7170495687337968,-0.1423281933629791,0.005895908408944096,True,1000.0,2.0,standard desalting
104,WC28,22111323,1,-33.51085455859197,1.4708554671761818,6,48.865420235341674,0.8972384256319605,-1.2347867424874017,2.0441194351425778,-0.10406599328100782,0.004576849706574634,True,25.0,9.0,standard desalting
105,WC2922,23012106,5,-34.77599222775272,0.0,1,75.6277997367864,0.0,-3.8515067886644214,0.0,-0.09970815875894985,0.0,True,25.0,6.0,standard desalting
106,WC510,22111323,3,-29.9858216316624,8.16316283686393,4,67.7983400119281,2.7481499583275153,-2.708661171709055,11.037557274865303,-0.08794828457183088,0.0239530132595868,True,25.0,9.0,standard desalting
107,WC578,22080918,5,-44.74767548991725,1.5397154979231207,4,69.6794537678152,1.0351911462024628,-4.265472456693658,2.0798950136872603,-0.13052459465814475,0.004508459684526963,True,1000.0,6.4,standard desalting
108,WC578,22082723,4,-45.59276555443939,2.500437596728687,4,60.958734429763005,1.6525285224052666,-3.269429527790135,3.4181378448998676,-0.1364608609596945,0.0075142775616588026,True,50.0,6.4,standard desalting
109,WC578,22090323,4,-42.75771819637119,1.7418744158201567,4,58.344804229104895,1.2300884841303266,-2.753150615157211,2.3900076675466733,-0.12898458030376908,0.005276358860539556,True,25.0,3.2,standard desalting
110,WC68,22072714,1,-45.36110006854302,1.884969410042103,2,69.23631530523382,0.14792787856527845,-4.270832854689921,2.543416486527292,-0.13248514336241526,0.005505685261488807,True,1000.0,1.0,standard desalting
111,WC68,22072714,2,-38.43661686442015,0.0,1,70.80590517567512,0.0,-3.777765130471252,0.0,-0.11174867558906626,0.0,True,1000.0,2.0,standard desalting
112,WC68,22072714,3,-45.12176939841906,0.23783427274677152,2,69.84107159264866,0.15468439020055091,-4.320366860628867,0.3211780501885205,-0.13155377249005384,0.0006959459238120304,True,1000.0,4.0,standard desalting
113,WC68,22072714,4,-43.2428271603378,3.845385583825485,3,70.4383939818986,1.5620729682998151,-4.208438692357863,5.183373001193633,-0.12585648385613393,0.011206454948618768,True,1000.0,5.0,standard desalting
114,WC68,22072714,5,-44.32361783622669,1.8012257816341342,2,70.14260265877817,0.624255430368156,-4.279148583360923,2.4285629679232232,-0.1291132331222498,0.00525216146820818,True,1000.0,8.0,standard desalting
115,WC68,22072714,6,-45.232545122167565,0.0,1,70.01031143568937,0.0,-4.351145373614827,0.0,-0.13181170320345878,0.0,True,1000.0,10.0,standard desalting
116,WC68,22072714,7,-44.80239881956278,0.0,1,69.42215854178349,0.0,-4.240246737397675,0.0,-0.13078237008597488,0.0,True,1000.0,12.0,standard desalting
117,WC788,22082723,7,-48.704259410591625,3.133418350456351,3,57.37874125872795,1.3299575577297214,-3.0028598933533805,4.300821311609008,-0.1473525697799073,0.0094985407136901,True,50.0,6.4,standard desalting
118,WC788,22090323,7,-44.08114488833269,2.08176245855442,4,55.70503800739939,0.992572900994171,-2.5073038124700684,2.8643038651114603,-0.13404430461345357,0.00634325025578577,True,25.0,3.2,standard desalting
119,WC91,23012106,6,-35.2673936097529,0.0,1,65.29992365666337,0.0,-2.94892826667611,0.0,-0.10420269335185167,0.0,True,25.0,6.0,standard desalting
